Date	Time	Voltage L1N Min	Voltage L1N Avg	Voltage L1N Max	Voltage NG Min	Voltage NG Avg	Voltage NG Max	Peak Voltage L1N Min	Peak Voltage L1N Avg	Peak Voltage L1N Max	Peak Voltage NG Min	Peak Voltage NG Avg	Peak Voltage NG Max	Voltage Crest Factor L1N Min	Voltage Crest Factor L1N Avg	Voltage Crest Factor L1N Max	Voltage Crest Factor NG Min	Voltage Crest Factor NG Avg	Voltage Crest Factor NG Max	Current L1 Min	Current L1 Avg	Current L1 Max	Current N Min	Current N Avg	Current N Max	Peak Current L1 Min	Peak Current L1 Avg	Peak Current L1 Max	Peak Current N Min	Peak Current N Avg	Peak Current N Max	Current Crest Factor L1 Min	Current Crest Factor L1 Avg	Current Crest Factor L1 Max	Current Crest Factor N Min	Current Crest Factor N Avg	Current Crest Factor N Max	Frequency Min	Frequency Avg	Frequency Max	
18/07/2018	19:08:52.094	3.440	3.460	3.460	.010	.010	.010	6.200	6.200	6.200	.000	.000	.000	1.780	1.790	1.800	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.965	59.965	59.966	
18/07/2018	19:08:53.094	3.460	3.490	3.520	.010	.010	.010	6.200	6.300	6.400	.000	.000	.000	1.780	1.800	1.840	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.966	59.966	59.966	
18/07/2018	19:08:54.094	3.520	3.520	3.520	.010	.010	.010	6.200	6.300	6.400	.000	.000	.000	1.770	1.780	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.966	59.966	59.966	
18/07/2018	19:08:55.094	3.520	3.530	3.540	.010	.010	.010	6.200	6.300	6.300	.000	.000	.000	1.760	1.780	1.790	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.966	59.966	59.966	
18/07/2018	19:08:56.094	3.540	3.540	3.540	.010	.010	.010	6.200	6.300	6.300	.000	.000	.000	1.760	1.770	1.780	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.966	59.966	59.966	
18/07/2018	19:08:57.094	3.540	3.610	3.740	.010	.010	.010	6.200	6.300	6.400	.000	.000	.000	1.720	1.760	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.965	59.965	59.966	
18/07/2018	19:08:58.094	3.750	3.770	3.770	.010	.010	.010	6.500	6.500	6.600	.000	.000	.000	1.720	1.730	1.760	327.670	327.670	327.670	.020	.020	.020	.150	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.964	59.965	59.965	
18/07/2018	19:08:59.094	3.770	3.850	3.990	.010	.010	.010	6.500	6.700	6.900	.000	.000	.000	1.730	1.730	1.740	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.964	59.966	59.970	
18/07/2018	19:09:00.094	3.980	3.980	3.980	.010	.010	.010	6.800	6.800	6.900	.000	.000	.000	1.700	1.710	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.968	59.970	59.974	
18/07/2018	19:09:01.094	3.980	4.050	4.180	.010	.010	.010	6.800	6.900	7.200	.000	.000	.000	1.710	1.710	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.973	59.974	59.979	
18/07/2018	19:09:02.094	4.170	4.180	4.180	.010	.010	.010	7.100	7.200	7.200	.000	.000	.000	1.710	1.720	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.978	59.982	59.984	
18/07/2018	19:09:03.094	4.180	4.190	4.190	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.700	1.710	1.710	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.982	59.983	59.983	
18/07/2018	19:09:04.094	4.160	4.180	4.190	.010	.010	.010	7.100	7.200	7.300	.000	.000	.000	1.700	1.720	1.740	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.982	59.982	59.982	
18/07/2018	19:09:05.094	4.160	4.160	4.160	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.710	1.710	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.981	59.981	59.981	
18/07/2018	19:09:06.094	4.160	4.160	4.160	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.700	1.710	1.720	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.981	
18/07/2018	19:09:07.094	4.160	4.160	4.170	.010	.010	.010	7.100	7.200	7.300	.000	.000	.000	1.710	1.720	1.760	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
