Date	Time	Voltage L1N Min	Voltage L1N Avg	Voltage L1N Max	Voltage NG Min	Voltage NG Avg	Voltage NG Max	Peak Voltage L1N Min	Peak Voltage L1N Avg	Peak Voltage L1N Max	Peak Voltage NG Min	Peak Voltage NG Avg	Peak Voltage NG Max	Current L1 Min	Current L1 Avg	Current L1 Max	Current N Min	Current N Avg	Current N Max	Peak Current L1 Min	Peak Current L1 Avg	Peak Current L1 Max	Peak Current N Min	Peak Current N Avg	Peak Current N Max	Current Crest Factor L1 Min	Current Crest Factor L1 Avg	Current Crest Factor L1 Max	Current Crest Factor N Min	Current Crest Factor N Avg	Current Crest Factor N Max	Frequency Min	Frequency Avg	Frequency Max	
18/07/2018	19:08:56.094	3.440	3.500	3.540	.010	.010	.010	6.200	6.200	6.400	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.965	59.966	59.966	
18/07/2018	19:09:01.094	3.540	3.850	4.180	.010	.010	.010	6.200	6.600	7.200	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.964	59.968	59.979	
18/07/2018	19:09:06.094	4.160	4.170	4.190	.010	.010	.010	7.100	7.100	7.300	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.978	59.982	59.984	
18/07/2018	19:09:11.094	4.150	4.170	4.190	.010	.010	.010	7.100	7.100	7.400	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:16.094	3.960	4.110	4.180	.010	.010	.010	6.800	7.000	7.200	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:21.094	3.660	3.740	3.990	.010	.010	.010	6.400	6.500	6.900	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.981	59.982	
18/07/2018	19:09:26.094	3.590	3.640	3.670	.010	.010	.010	6.300	6.300	6.600	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.982	59.984	59.986	
18/07/2018	19:09:31.094	3.460	3.500	3.590	.010	.010	.010	6.100	6.200	6.400	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.986	59.989	59.991	
18/07/2018	19:09:36.094	3.460	3.460	3.470	.010	.010	.010	6.100	6.200	6.400	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.991	59.993	59.996	
18/07/2018	19:09:41.094	3.460	3.460	3.520	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.996	59.998	60.000	
18/07/2018	19:09:46.094	3.510	3.590	3.790	.010	.010	.010	6.200	6.300	6.700	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.000	60.001	
18/07/2018	19:09:51.094	3.760	4.060	4.370	.010	.010	.010	6.500	6.900	7.600	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.200	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.001	60.002	
18/07/2018	19:09:56.094	4.060	4.240	4.430	.010	.010	.010	5.900	7.300	7.600	.000	.000	.000	.020	.020	.020	.140	.140	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.002	60.003	60.004	
18/07/2018	19:10:01.094	4.430	4.440	4.490	.010	.010	.010	5.900	5.900	6.000	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.200	327.670	327.670	327.670	327.670	327.670	327.670	59.998	59.999	60.000	
18/07/2018	19:10:06.094	4.480	5.230	6.090	.010	.010	.010	6.000	7.000	8.400	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.000	60.001	
18/07/2018	19:10:11.094	6.050	6.310	6.470	.010	.010	.010	8.300	8.700	9.000	.000	.000	.000	.020	.020	.020	.140	.140	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.007	60.007	60.008	
18/07/2018	19:10:16.094	6.470	6.570	6.680	.010	.010	.010	9.000	9.100	9.300	.000	.000	.000	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.004	60.005	60.007	
